GradientNorms,TimeTaken,FunctionValues
1537432233561908.5,0.06667137145996094,7.978313144551229e+21
1468178140922225.5,0.06865453720092773,7.955182043045237e+21
1458083258089307.5,0.07015681266784668,7.92224028986492e+21
1453296772951810.2,0.07163095474243164,7.87044519338657e+21
1445660633865673.0,0.0731191635131836,7.787764247933942e+21
1433656138508332.8,0.07460856437683105,7.655852233917503e+21
1425443029213882.0,0.07560014724731445,7.446930058661789e+21
2351030361628975.5,0.0770876407623291,7.145327341682854e+21
5663398591019985.0,0.07827258110046387,7.231115397592651e+21
2506099073391298.0,0.07926797866821289,7.026251807522709e+21
1705130558499587.2,0.08025956153869629,6.987610313248098e+21
1427096416022248.0,0.0812528133392334,6.965005223289624e+21
1366374087677343.2,0.0822441577911377,6.941002388042468e+21
1361441983618835.2,0.0832359790802002,6.90573741662866e+21
1355939440911964.8,0.08422708511352539,6.849794137338649e+21
1347833198976373.8,0.08522200584411621,6.760496106217833e+21
1350809649547232.5,0.08621454238891602,6.618671142324782e+21
2152929936237700.0,0.0872044563293457,6.415230197302406e+21
3753611631187565.5,0.08770084381103516,6.407973630832613e+21
1840563562798550.5,0.08869194984436035,6.314461845826994e+21
1434378165804436.5,0.08968448638916016,6.291661805565979e+21
1309499501314278.2,0.09067654609680176,6.271833335660563e+21
1294621417687375.0,0.09166812896728516,6.245204545939388e+21
1290250796281010.2,0.09266042709350586,6.203459946776369e+21
1283378498977658.8,0.09365153312683105,6.136811132795083e+21
1273487890250844.8,0.09464406967163086,6.030511691483472e+21
1307306965311543.8,0.09563517570495605,5.862969498859349e+21
3777850190203142.5,0.09662747383117676,5.712571595475515e+21
3017761438040330.5,0.09762001037597656,5.636130156700226e+21
1784533960269012.8,0.09811615943908691,5.581463410047422e+21
1355751966525784.8,0.09910845756530762,5.559767768086204e+21
1233426739155538.5,0.10010051727294922,5.542582917962372e+21
1217069404634524.5,0.10109233856201172,5.520019480696356e+21
1213181757727807.5,0.10208439826965332,5.484887875610054e+21
1206976365249217.2,0.10307812690734863,5.428854277914457e+21
1197125839473536.2,0.10406851768493652,5.339453376611191e+21
1185954848817775.5,0.10506010055541992,5.19772112850921e+21
1589936913893187.2,0.10605311393737793,4.983935520253155e+21
