GradientNorms,TimeTaken,FunctionValues
117285383453.17444,0.08306670188903809,63564831477320.805
7960974514.649892,0.08455443382263184,12069390870847.312
7795575043.112581,0.08554625511169434,11601966080758.72
26433126604.523907,0.08703351020812988,706813784723.7051
51477791604470.83,0.08852314949035645,1.9311115546674856e+16
285994564.54030955,0.09001040458679199,699388674866.7604
285994156.25115764,0.09150004386901855,699387482809.65
285452430.36454165,0.0929863452911377,697789782082.9847
273995041.3784686,0.09447717666625977,631575244279.0862
3713281740.4484267,0.09645819664001465,606268373055.4154
802989502107.7094,0.09794878959655762,5273576012329.76
3096997085.467402,0.09993171691894531,575001575901.5425
865818564.2983564,0.10141849517822266,574926210540.193
864279820.6539521,0.10340404510498047,574915293244.9203
261486110.28964788,0.10489082336425781,571876863953.4453
261131430.05665812,0.10637807846069336,571367611310.5199
249078731.9190105,0.10836386680603027,538135718909.06793
489094929502.5907,0.11034679412841797,2250697481221.188
303134559.88842404,0.11183381080627441,507533745488.89667
240319698.3223064,0.11381793022155762,507532655024.156
240319474.66725284,0.11530637741088867,507531813316.96716
210421543.94145596,0.11679506301879883,321180710578.1874
17192635926.299057,0.11877751350402832,1418950379236.5542
18205941657.096775,0.12026739120483398,337933753289.13434
4964891630398.058,0.12175488471984863,179943259853475.0
1357792255.386953,0.12373900413513184,316350699436.1166
1345486171.6549149,0.12549471855163574,316324055931.2532
1343602059.4316792,0.12720966339111328,316295523771.5296
774384362.417821,0.12869834899902344,307241720571.46277
758618429.8081958,0.1301863193511963,302772712703.9507
285087023.27688,0.1321718692779541,209104849855.9778
148474794518.29092,0.13365936279296875,351559191435.17126
10107452188.618422,0.1351475715637207,191661533325.3128
223525168.23206496,0.13663458824157715,190916719373.58893
223267157.773303,0.13861846923828125,190915991620.42938
143018975.5391167,0.1401057243347168,190653967504.81714
142958509.00923762,0.14209198951721191,190501528767.21228
67957487.1456725,0.14357709884643555,43007922660.679276
25342483823279.38,0.14556336402893066,4680055454400342.0
227755740.2725477,0.14705157279968262,8887166718.998524
165710617.60498697,0.14853763580322266,8886588585.326496
165683897.40170428,0.1500263214111328,8886188339.883358
156598008.97970736,0.1520097255706787,8635292393.350088
152009884.04081535,0.15349912643432617,8402413759.745088
139872628.67198423,0.15498661994934082,7738142930.100252
344680622.8991426,0.15697050094604492,5528615325.918869
243967242776.83755,0.15895342826843262,439128349842.6505
424232013.07730716,0.16044330596923828,5403606418.57351
211648133.90176415,0.16242551803588867,5401967967.964146
211287763.89020374,0.16391444206237793,5401315308.881594
75489587.59412712,0.16540265083312988,5213194014.121196
74009329.27620396,0.16738581657409668,5171021295.064655
20513834.2230679,0.16887354850769043,4156553114.6151342
40330013959.698715,0.17036151885986328,15873760128.626469
53031975.65939829,0.17184948921203613,4021313854.106576
18507345.20910747,0.17383527755737305,4021290863.945454
18506206.396786615,0.17581748962402344,4021285872.1083016
18210747.483819485,0.1773056983947754,4018750070.6842437
18205046.89476124,0.17879343032836914,4016255378.5038047
17634777.194059283,0.18077826499938965,3768077813.027355
349634464809.1382,0.1822664737701416,891084171946.9044
818492240.6457826,0.18375325202941895,288806772.03849614
72852970.60997364,0.1852426528930664,283886209.35389066
72711278.97636586,0.1872251033782959,283808930.5190116
5414877.916669623,0.18871426582336426,264000096.8540606
5389915.737611462,0.1902024745941162,263782098.62243536
4542416.391284644,0.1922612190246582,251980145.98843756
749615227.4838505,0.19367432594299316,246348311.77883494
19151379.445202436,0.1956615447998047,242255927.0168679
4450953.524593544,0.19714617729187012,242253109.94247508
4450950.84422231,0.19863295555114746,242252821.2151964
